YEAR,MONTH,FISHING_GROUND_CODE,FLEET,FISHERY,GEAR,SPECIES,FISHING_DAYS,CATCH
2024,2,5213106,Indonesia,Line | Handline,Handline,Common dolphinfish,1.0,0.13
2024,2,5213106,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,1.0,0.1
2024,2,5213107,Indonesia,Line | Handline,Handline,Common dolphinfish,3.0,0.15
2024,2,5213107,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,2.0,0.15
2024,2,5213109,Indonesia,Line | Handline,Handline,Common dolphinfish,2.0,0.233
2024,2,5213109,Indonesia,Line | Handline,Handline,Blue shark,2.0,0.031
2024,2,5214105,Indonesia,Line | Handline,Handline,Common dolphinfish,10.0,0.1
2024,2,5214105,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,14.0,0.33
2024,2,5214106,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,33.0,0.302
2024,2,5214107,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,2.0,0.02
2024,2,6100055,Sri Lanka,Longline | Fresh,Longline (fresh),Blue shark,4493.0,0.7
2024,2,6100055,Sri Lanka,Longline | Fresh,Longline (fresh),Silky shark,4493.0,0.2
2024,2,6100060,Sri Lanka,Longline | Fresh,Longline (fresh),Blue shark,10952.0,2.0
2024,2,6100060,Sri Lanka,Longline | Fresh,Longline (fresh),Silky shark,10952.0,0.2
2024,2,6100060,Sri Lanka,Longline | Fresh,Longline (fresh),Shortfin mako,10952.0,0.1
2024,2,6100065,Sri Lanka,Longline | Fresh,Longline (fresh),Blue shark,4633.0,0.1
2024,2,6100075,Sri Lanka,Gillnet,Gillnet,Giant manta,262.0,0.6
2024,2,6100075,Sri Lanka,Gillnet,Gillnet,Silky shark,262.0,0.4
2024,2,6100075,Sri Lanka,Line | Coastal longline,Coastal longline,Blue shark,1625.0,3.1
2024,2,6100075,Sri Lanka,Line | Coastal longline,Coastal longline,Silky shark,1625.0,0.9
2024,2,6100075,Sri Lanka,Line | Coastal longline,Coastal longline,Shortfin mako,1625.0,0.2
2024,2,6100075,Sri Lanka,Purse seine | Other,Ringnet,Rough triggerfish,1013.0,7.7
2024,2,6100075,Sri Lanka,Purse seine | Other,Ringnet,Rainbow runner,1013.0,17.8
2024,2,6100075,Sri Lanka,Purse seine | Other,Ringnet,Indian scad,1013.0,186.2
2024,2,6100080,Sri Lanka,Gillnet,Gillnet,Blue shark,444.0,1.3
2024,2,6100080,Sri Lanka,Gillnet,Gillnet,Silky shark,444.0,1.5
2024,2,6100080,Sri Lanka,Gillnet,Gillnet,Shortfin mako,444.0,0.2
2024,2,6100080,Sri Lanka,Line | Coastal longline,Coastal longline,Blue shark,148.0,0.6
2024,2,6100080,Sri Lanka,Line | Coastal longline,Coastal longline,Silky shark,148.0,0.4
2024,2,6100080,Sri Lanka,Purse seine | Other,Ringnet,Rough triggerfish,1508.0,10.2
2024,2,6100080,Sri Lanka,Purse seine | Other,Ringnet,Indian mackerel,1508.0,2.7
2024,2,6100080,Sri Lanka,Purse seine | Other,Ringnet,Rainbow runner,1508.0,1.2
2024,2,6100080,Sri Lanka,Purse seine | Other,Ringnet,Indian scad,1508.0,303.4
2024,2,6105060,Sri Lanka,Longline | Fresh,Longline (fresh),Blue shark,246.0,0.1
2024,2,6105060,Sri Lanka,Longline | Fresh,Longline (fresh),Silky shark,246.0,3.1
2024,2,6105060,Sri Lanka,Longline | Fresh,Longline (fresh),Shortfin mako,246.0,0.5
2024,2,6105060,Sri Lanka,Longline | Fresh,Longline (fresh),Great hammerhead,246.0,0.3
2024,2,6105075,Sri Lanka,Gillnet,Gillnet,Common dolphinfish,1148.0,0.3
2024,2,6105075,Sri Lanka,Gillnet,Gillnet,Giant manta,1148.0,0.9
2024,2,6105075,Sri Lanka,Gillnet,Gillnet,Blue shark,1148.0,1.5
2024,2,6105075,Sri Lanka,Gillnet,Gillnet,Silky shark,1148.0,1.2
2024,2,6105075,Sri Lanka,Gillnet,Gillnet,Shortfin mako,1148.0,1.0
2024,2,6105075,Sri Lanka,Gillnet,Gillnet,Great hammerhead,1148.0,0.1
2024,2,6105075,Sri Lanka,Line | Coastal longline,Coastal longline,Blue shark,3591.0,5.6
